match_id,map_id,map_name,team1_id,team1_name,team1_map_score,team2_id,team2_name,team2_map_score,map_winner_id,map_winner_name,round_difference
2394987,6,Mirage,4494,MOUZ,7,13286,FUT,13,13286,FUT,6
2394987,5,Nuke,4494,MOUZ,13,13286,FUT,10,4494,MOUZ,3
2394983,4,Dust2,4494,MOUZ,13,9565,Vitality,7,4494,MOUZ,6
2394983,7,Inferno,4494,MOUZ,4,9565,Vitality,13,9565,Vitality,9
2394983,6,Mirage,4494,MOUZ,9,9565,Vitality,13,9565,Vitality,4
2394971,2,Overpass,4494,MOUZ,7,8297,FURIA,13,8297,FURIA,6
2394971,7,Inferno,4494,MOUZ,13,8297,FURIA,5,4494,MOUZ,8
2394971,5,Nuke,4494,MOUZ,5,8297,FURIA,13,8297,FURIA,8
2394905,4,Dust2,4494,MOUZ,13,12468,Legacy,5,4494,MOUZ,8
2394905,5,Nuke,4494,MOUZ,13,12468,Legacy,6,4494,MOUZ,7
2394227,3,Ancient,4494,MOUZ,13,9215,MIBR,1,4494,MOUZ,12
2394227,2,Overpass,4494,MOUZ,13,9215,MIBR,3,4494,MOUZ,10
2394225,6,Mirage,4494,MOUZ,13,11283,Falcons,7,4494,MOUZ,6
2394225,5,Nuke,4494,MOUZ,10,11283,Falcons,13,11283,Falcons,3
2394225,4,Dust2,4494,MOUZ,7,11283,Falcons,13,11283,Falcons,6
2394220,5,Nuke,4494,MOUZ,13,4773,paiN,4,4494,MOUZ,9
2394220,2,Overpass,4494,MOUZ,13,4773,paiN,7,4494,MOUZ,6
2396949,3,Ancient,7020,Spirit,13,11283,Falcons,11,7020,Spirit,2
2396949,5,Nuke,7020,Spirit,13,11283,Falcons,8,7020,Spirit,5
2396943,11,Cache,7020,Spirit,13,8297,FURIA,5,7020,Spirit,8
2396943,3,Ancient,7020,Spirit,13,8297,FURIA,10,7020,Spirit,3
2396932,4,Dust2,7020,Spirit,13,5995,G2,6,7020,Spirit,7
2396932,11,Cache,7020,Spirit,13,5995,G2,9,7020,Spirit,4
2396924,3,Ancient,7020,Spirit,13,13926,DENDELE,8,7020,Spirit,5
2396924,11,Cache,7020,Spirit,13,13926,DENDELE,7,7020,Spirit,6
2396614,11,Cache,7020,Spirit,10,13286,FUT,13,13286,FUT,3
2396614,5,Nuke,7020,Spirit,13,13286,FUT,5,7020,Spirit,8
2396614,3,Ancient,7020,Spirit,16,13286,FUT,14,7020,Spirit,2
2396614,1,Anubis,7020,Spirit,16,13286,FUT,13,7020,Spirit,3
2396612,4,Dust2,7020,Spirit,13,12468,Legacy,7,7020,Spirit,6
2396612,3,Ancient,7020,Spirit,13,12468,Legacy,9,7020,Spirit,4
2396610,1,Anubis,7020,Spirit,13,9565,Vitality,11,7020,Spirit,2
2396610,6,Mirage,7020,Spirit,13,9565,Vitality,3,7020,Spirit,10
2396610,5,Nuke,7020,Spirit,14,9565,Vitality,16,9565,Vitality,2
2396606,6,Mirage,7020,Spirit,13,11241,B8,9,7020,Spirit,4
2396606,4,Dust2,7020,Spirit,13,11241,B8,9,7020,Spirit,4
2396591,6,Mirage,7020,Spirit,13,7532,BIG,7,7020,Spirit,6
2396591,4,Dust2,7020,Spirit,13,7532,BIG,10,7020,Spirit,3
2396577,4,Dust2,7020,Spirit,19,6290,Luminosity,15,7020,Spirit,4
2396577,3,Ancient,7020,Spirit,13,6290,Luminosity,3,7020,Spirit,10
2396559,6,Mirage,7020,Spirit,10,10245,JiJieHao,13,10245,JiJieHao,3
2396021,4,Dust2,7020,Spirit,8,4494,MOUZ,13,4494,MOUZ,5
2396021,5,Nuke,7020,Spirit,10,4494,MOUZ,13,4494,MOUZ,3
2396021,3,Ancient,7020,Spirit,13,4494,MOUZ,9,7020,Spirit,4
2396021,6,Mirage,7020,Spirit,4,4494,MOUZ,13,4494,MOUZ,9
2396020,4,Dust2,7020,Spirit,13,6667,FaZe,6,7020,Spirit,7
2396020,1,Anubis,7020,Spirit,13,6667,FaZe,11,7020,Spirit,2
2396018,4,Dust2,7020,Spirit,13,5973,Liquid,7,7020,Spirit,6
2396018,1,Anubis,7020,Spirit,13,5973,Liquid,5,7020,Spirit,8
2396014,6,Mirage,7020,Spirit,4,8474,100 Thieves,13,8474,100 Thieves,9
2396014,4,Dust2,7020,Spirit,13,8474,100 Thieves,0,7020,Spirit,13
2396014,1,Anubis,7020,Spirit,13,8474,100 Thieves,11,7020,Spirit,2
2396006,3,Ancient,7020,Spirit,19,10503,OG,16,7020,Spirit,3
2396006,4,Dust2,7020,Spirit,11,10503,OG,13,10503,OG,2
2395001,4,Dust2,7020,Spirit,12,11283,Falcons,16,11283,Falcons,4
2395001,6,Mirage,7020,Spirit,13,11283,Falcons,8,7020,Spirit,5
2395001,1,Anubis,7020,Spirit,14,11283,Falcons,16,11283,Falcons,2
2394998,2,Overpass,7020,Spirit,9,5995,G2,13,5995,G2,4
2394998,6,Mirage,7020,Spirit,25,5995,G2,22,7020,Spirit,3
2394998,4,Dust2,7020,Spirit,16,5995,G2,14,7020,Spirit,2
2394986,2,Overpass,7020,Spirit,12,9996,9z,16,9996,9z,4
2394986,4,Dust2,7020,Spirit,16,9996,9z,14,7020,Spirit,2
2394986,6,Mirage,7020,Spirit,16,9996,9z,13,7020,Spirit,3
2394977,4,Dust2,7020,Spirit,9,11861,Aurora,13,11861,Aurora,4
2394977,5,Nuke,7020,Spirit,13,11861,Aurora,5,7020,Spirit,8
2394977,1,Anubis,7020,Spirit,13,11861,Aurora,4,7020,Spirit,9
2396948,5,Nuke,9565,Vitality,6,8297,FURIA,13,8297,FURIA,7
2396948,4,Dust2,9565,Vitality,13,8297,FURIA,4,9565,Vitality,9
2396948,11,Cache,9565,Vitality,13,8297,FURIA,11,9565,Vitality,2
2396946,1,Anubis,9565,Vitality,13,13286,FUT,7,9565,Vitality,6
